epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2895.84,0.95876,0.69038,1.04344,0.79662,0.64745,0.72535,0.52224,0.91709,0.61573,0.97869,0.000396262,0.000396262,0.000396262
75,2934.5,0.94168,0.67559,1.03809,0.78387,0.67,0.72653,0.52551,0.90766,0.60757,0.96639,0.000382115,0.000382115,0.000382115
76,2972.95,0.91842,0.67611,1.04011,0.74192,0.66444,0.72418,0.52396,0.91171,0.60544,0.98159,0.000367967,0.000367967,0.000367967
77,3011.58,0.93873,0.68166,1.03501,0.7975,0.65455,0.73029,0.52674,0.91479,0.60582,0.97981,0.00035382,0.00035382,0.00035382
78,3050.17,0.93483,0.68216,1.03391,0.77298,0.66189,0.72558,0.52439,0.92323,0.60693,0.97752,0.000339673,0.000339673,0.000339673
79,3088.73,0.92325,0.66521,1.02913,0.78783,0.65255,0.72711,0.5274,0.92065,0.60579,0.97991,0.000325526,0.000325526,0.000325526
80,3127.51,0.93171,0.67832,1.03286,0.80821,0.65426,0.72781,0.52978,0.90577,0.60212,0.96705,0.000311379,0.000311379,0.000311379
81,3166.24,0.92558,0.66797,1.02745,0.80437,0.64895,0.72331,0.52517,0.91392,0.60798,0.97822,0.000297232,0.000297232,0.000297232
82,3205.67,0.90987,0.65437,1.02696,0.77709,0.66316,0.73438,0.53164,0.91811,0.59987,0.97522,0.000283085,0.000283085,0.000283085
83,3244.27,0.90912,0.6537,1.02112,0.81385,0.65399,0.72575,0.52902,0.91286,0.60474,0.96591,0.000268938,0.000268938,0.000268938
84,3283.18,0.91838,0.65772,1.02075,0.80206,0.66545,0.73446,0.53336,0.90696,0.60168,0.97289,0.000254791,0.000254791,0.000254791
85,3321.98,0.91013,0.65544,1.0247,0.80259,0.65712,0.73159,0.53075,0.9127,0.60058,0.97031,0.000240644,0.000240644,0.000240644
86,3360.73,0.90848,0.66066,1.02586,0.80161,0.65707,0.72836,0.52902,0.91288,0.59206,0.9719,0.000226497,0.000226497,0.000226497
87,3399.53,0.89089,0.64203,1.01879,0.78542,0.65462,0.72564,0.52693,0.9131,0.60123,0.96833,0.000212349,0.000212349,0.000212349
88,3438.23,0.89347,0.64341,1.0166,0.77246,0.66565,0.72383,0.52278,0.91091,0.5963,0.96626,0.000198202,0.000198202,0.000198202
89,3477,0.90435,0.65267,1.02127,0.80803,0.64994,0.73019,0.5254,0.90911,0.59835,0.96777,0.000184055,0.000184055,0.000184055
90,3515.79,0.89768,0.64008,1.01528,0.81091,0.66501,0.73467,0.53179,0.90766,0.58842,0.95913,0.000169908,0.000169908,0.000169908
91,3554.6,0.88504,0.64222,0.97898,0.79048,0.6535,0.72772,0.52487,0.91931,0.6071,0.97331,0.000155761,0.000155761,0.000155761
92,3592.21,0.86305,0.60971,0.97159,0.79774,0.64864,0.72111,0.51984,0.92827,0.60968,0.97868,0.000141614,0.000141614,0.000141614
93,3629.83,0.84759,0.58901,0.96212,0.78104,0.66277,0.73032,0.53009,0.9091,0.59438,0.96984,0.000127467,0.000127467,0.000127467
94,3667.71,0.84279,0.59079,0.95873,0.81532,0.65438,0.73142,0.53273,0.90431,0.59945,0.96794,0.00011332,0.00011332,0.00011332
95,3705.14,0.83937,0.58514,0.96134,0.80927,0.66011,0.73201,0.53195,0.91239,0.59393,0.97232,9.91726e-05,9.91726e-05,9.91726e-05
96,3742.57,0.84678,0.58356,0.95953,0.80183,0.65026,0.72998,0.52859,0.91347,0.59763,0.97246,8.50255e-05,8.50255e-05,8.50255e-05
97,3780.62,0.84693,0.58498,0.96383,0.80447,0.65295,0.72834,0.52822,0.91061,0.59626,0.97261,7.08784e-05,7.08784e-05,7.08784e-05
98,3819.11,0.83199,0.57752,0.95695,0.78512,0.66086,0.72826,0.52912,0.90609,0.59771,0.97309,5.67313e-05,5.67313e-05,5.67313e-05
99,3856.85,0.83026,0.57158,0.95036,0.8099,0.64978,0.73014,0.53257,0.90367,0.59052,0.97142,4.25842e-05,4.25842e-05,4.25842e-05
100,3894.61,0.8282,0.57042,0.9532,0.80172,0.65402,0.72776,0.52832,0.91028,0.5934,0.97412,2.84371e-05,2.84371e-05,2.84371e-05
